stream,site,id,class,order,family,taxon,count,date,total_count,fraction_processed,area_sampled
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,diptera,chironomidae,chaetocladius,5,10/13/2016,285,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,diptera,chironomidae,chaetocladius,6,10/13/2016,510,100,1.15
mineral_cr,abv_animas,MaA,insecta,diptera,chironomidae,chaetocladius,5,10/12/2016,180,100,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,diptera,chironomidae,chaetocladius,2,10/7/2016,532,37.5,1.15
burrow_cr,abv_nf_animas,BUaNFA,insecta,diptera,chironomidae,chaetocladius,8,10/7/2016,509,43.75,1.15
nf_animas,abv_wf_animas,NFAaWFA,insecta,diptera,chironomidae,chaetocladius,1,10/7/2016,12,100,1.15
wf_animas,abv_placer_gulch,WFAaPL,insecta,diptera,chironomidae,chaetocladius,2,10/10/2016,40,100,1.15
wf_animas,abv_animas,WFAaA,insecta,diptera,chironomidae,chaetocladius,2,10/7/2016,12,100,1.15
sf_animas,abv_eureka_gulch,SFAaEU,insecta,diptera,chironomidae,chaetocladius,3,10/8/2016,501,75,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,diptera,chironomidae,chaetocladius,5,10/6/2016,547,88,1.15
sf_animas,abv_animas,SFAaA,insecta,diptera,chironomidae,chaetocladius,2,10/6/2016,539,37.5,1.15
animas,abv_minnie,AaMINN,insecta,diptera,chironomidae,chaetocladius,3,10/11/2016,503,87.5,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,diptera,empididae,chelifera,4,10/13/2016,510,100,1.15
sf_animas,abv_eureka_gulch,SFAaEU,insecta,diptera,empididae,chelifera,1,10/8/2016,501,75,1.15
animas,abv_minnie,AaMINN,insecta,diptera,empididae,chelifera,1,10/11/2016,503,87.5,1.15
hermosa_cr,abv_ditch,HERaD,insecta,diptera,empididae,chelifera,5,9/30/2016,557,31.5,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,ephemeroptera,heptageniidae,cinygmula,120,10/17/2016,790,6.25,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,ephemeroptera,heptageniidae,cinygmula ,16,10/12/2016,531,18.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,ephemeroptera,heptageniidae,cinygmula ,46,10/7/2016,532,37.5,1.15
picayne_gulch,abv_animas,PICaA,insecta,ephemeroptera,heptageniidae,cinygmula ,24,10/5/2016,557,7.815,1.15
picayne_gulch,abv_animas,,insecta,ephemeroptera,heptageniidae,cinygmula ,6,10/4/2016,602,12.5,1.15
mineral_cr,abv_mf_mineral,MaMFM,insecta,diptera,empididae,clinocera,1,10/14/2016,120,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,diptera,empididae,clinocera,4,10/12/2016,531,18.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,diptera,empididae,clinocera,1,10/7/2016,532,37.5,1.15
burrow_cr,abv_nf_animas,BUaNFA,insecta,diptera,empididae,clinocera,37,10/7/2016,509,43.75,1.15
wf_animas,abv_placer_gulch,WFAaPL,insecta,diptera,empididae,clinocera,2,10/10/2016,40,100,1.15
wf_animas,abv_animas,WFAaA,insecta,diptera,empididae,clinocera,2,10/7/2016,12,100,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,diptera,chironomidae,cricotopus_Orthocladius,4,10/17/2016,397,100,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,diptera,chironomidae,cricotopus_Orthocladius,13,10/17/2016,790,6.25,1.15
mineral_cr,abv_browns_gulch,,insecta,diptera,chironomidae,cricotopus_Orthocladius,4,10/17/2016,576,18.75,1.15
mineral_cr,abv_mf_mineral,MaMFM,insecta,diptera,chironomidae,cricotopus_Orthocladius,2,10/14/2016,120,100,1.15
mf_mineral_cr,abv_mineral_cr,MFMaM,insecta,diptera,chironomidae,cricotopus_Orthocladius,1,10/14/2016,47,100,1.15
mineral_cr,abv_sf_mineral,MaSFM,insecta,diptera,chironomidae,cricotopus_Orthocladius,1,10/13/2016,90,100,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,diptera,chironomidae,cricotopus_Orthocladius,3,10/13/2016,285,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,diptera,chironomidae,cricotopus_Orthocladius,121,10/13/2016,510,100,1.15
mineral_cr,abv_animas,MaA,insecta,diptera,chironomidae,cricotopus_Orthocladius,1,10/12/2016,180,100,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,diptera,chironomidae,cricotopus_Orthocladius,15,10/7/2016,532,37.5,1.15
picayne_gulch,abv_animas,PICaA,insecta,diptera,chironomidae,cricotopus_Orthocladius,2,10/5/2016,557,7.815,1.15
animas,abv_eureka,AaEU,insecta,diptera,chironomidae,cricotopus_Orthocladius,3,10/11/2016,260,100,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,diptera,chironomidae,cricotopus_Orthocladius,3,10/8/2016,673,12.5,1.15
sf_animas,abv_eureka_gulch,SFAaEU,insecta,diptera,chironomidae,cricotopus_Orthocladius,9,10/8/2016,501,75,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,diptera,chironomidae,cricotopus_Orthocladius,101,10/6/2016,547,88,1.15
sf_animas,abv_animas,SFAaA,insecta,diptera,chironomidae,cricotopus_Orthocladius,24,10/6/2016,539,37.5,1.15
animas,abv_minnie,AaMINN,insecta,diptera,chironomidae,cricotopus_Orthocladius,110,10/11/2016,503,87.5,1.15
animas,abv_cunningham,AaCU,insecta,diptera,chironomidae,cricotopus_Orthocladius,78,10/4/2016,509,18.75,1.15
animas,abv_arrastra_cr,AaARR,insecta,diptera,chironomidae,cricotopus_Orthocladius,79,10/2/2016,507,25,1.15
hermosa_cr,abv_ditch,HERaD,insecta,diptera,chironomidae,cricotopus_Orthocladius,2,9/30/2016,557,31.5,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,diptera,chironomidae,diamesa,3,10/17/2016,397,100,1.15
mineral_cr,abv_browns_gulch,,insecta,diptera,chironomidae,diamesa,8,10/17/2016,576,18.75,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,diptera,chironomidae,diamesa,4,10/13/2016,285,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,diptera,chironomidae,diamesa,10,10/13/2016,510,100,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,diptera,chironomidae,diamesa,9,10/7/2016,532,37.5,1.15
picayne_gulch,abv_animas,PICaA,insecta,diptera,chironomidae,diamesa,1,10/5/2016,557,7.815,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,diptera,chironomidae,diamesa,34,10/8/2016,673,12.5,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,diptera,chironomidae,diamesa,19,10/6/2016,547,88,1.15
sf_animas,abv_animas,SFAaA,insecta,diptera,chironomidae,diamesa,2,10/6/2016,539,37.5,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,trichoptera,limnephilidae,dicosmoecus,17,10/17/2016,790,6.25,1.15
mineral_cr,abv_sf_mineral,MaSFM,insecta,diptera,tipulidae,dicranota,1,10/13/2016,90,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,diptera,tipulidae,dicranota,3,10/12/2016,531,18.75,1.15
mineral_cr,abv_browns_gulch,,insecta,diptera,dixidae,dixa,1,10/17/2016,576,18.75,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,267,10/17/2016,790,6.25,1.15
mineral_cr,abv_browns_gulch,,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,15,10/17/2016,576,18.75,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,4,10/13/2016,510,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,28,10/12/2016,531,18.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,4,10/7/2016,532,37.5,1.15
picayne_gulch,abv_animas,PICaA,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,1,10/5/2016,557,7.815,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,63,10/8/2016,673,12.5,1.15
sf_animas,abv_animas,SFAaA,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,1,10/6/2016,539,37.5,1.15
maggie_gulch,abv_animas,MAGaA,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,42,10/4/2016,747,6.25,1.15
animas,abv_cunningham,AaCU,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,77,10/4/2016,509,18.75,1.15
picayne_gulch,abv_animas,,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,109,10/4/2016,602,12.5,1.15
animas,abv_arrastra_cr,AaARR,insecta,ephemeroptera,ephemerellidae,drunella_doddsii,52,10/2/2016,507,25,1.15
hermosa_cr,abv_ditch,HERaD,insecta,ephemeroptera,ephemerellidae,drunella_grandis,8,9/30/2016,557,31.5,1.15
wf_animas,abv_placer_gulch,WFAaPL,insecta,coleoptera,dytiscidae,dytiscidae,1,10/10/2016,40,100,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,trichoptera,limnephilidae,ecclisomyia,5,10/7/2016,532,37.5,1.15
wf_animas,abv_placer_gulch,WFAaPL,insecta,trichoptera,limnephilidae,ecclisomyia,2,10/10/2016,40,100,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,trichoptera,limnephilidae,ecclisomyia,3,10/8/2016,673,12.5,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,trichoptera,limnephilidae,ecclisomyia,2,10/6/2016,547,88,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,ephemeroptera,heptageniidae,epeorus,2,10/13/2016,510,100,1.15
animas,abv_cunningham,AaCU,insecta,ephemeroptera,heptageniidae,epeorus,2,10/4/2016,509,18.75,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,ephemeroptera,ephemerellidae,ephemerellidae,31,10/17/2016,790,6.25,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,ephemeroptera,ephemerellidae,ephemerellidae,2,10/12/2016,531,18.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,ephemeroptera,ephemerellidae,ephemerellidae,1,10/7/2016,532,37.5,1.15
picayne_gulch,abv_animas,PICaA,insecta,ephemeroptera,ephemerellidae,ephemerellidae,27,10/5/2016,557,7.815,1.15
maggie_gulch,abv_animas,MAGaA,insecta,ephemeroptera,ephemerellidae,ephemerellidae,7,10/4/2016,747,6.25,1.15
animas,abv_cunningham,AaCU,insecta,ephemeroptera,ephemerellidae,ephemerellidae,6,10/4/2016,509,18.75,1.15
picayne_gulch,abv_animas,,insecta,ephemeroptera,ephemerellidae,ephemerellidae,3,10/4/2016,602,12.5,1.15
animas,abv_cunningham,AaCU,insecta,diptera,chironomidae,eukiefferiella,1,10/4/2016,509,18.75,1.15
mineral_cr,abv_browns_gulch,,insecta,diptera,chironomidae,eukiefferiella_brehmi,2,10/17/2016,576,18.75,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,diptera,chironomidae,eukiefferiella_brehmi,2,10/13/2016,285,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,diptera,chironomidae,eukiefferiella_brehmi,2,10/12/2016,531,18.75,1.15
burrow_cr,abv_nf_animas,BUaNFA,insecta,diptera,chironomidae,eukiefferiella_brehmi,365,10/7/2016,509,43.75,1.15
picayne_gulch,abv_animas,PICaA,insecta,diptera,chironomidae,eukiefferiella_brehmi,7,10/5/2016,557,7.815,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,diptera,chironomidae,eukiefferiella_brehmi,14,10/8/2016,673,12.5,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,diptera,chironomidae,eukiefferiella_brehmi,1,10/6/2016,547,88,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,diptera,chironomidae,eukiefferiella_claripennis,7,10/17/2016,397,100,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,diptera,chironomidae,eukiefferiella_claripennis,1,10/17/2016,790,6.25,1.15
mf_mineral_cr,abv_mineral_cr,MFMaM,insecta,diptera,chironomidae,eukiefferiella_claripennis,1,10/14/2016,47,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,diptera,chironomidae,eukiefferiella_claripennis,8,10/13/2016,510,100,1.15
mineral_cr,abv_animas,MaA,insecta,diptera,chironomidae,eukiefferiella_claripennis,4,10/12/2016,180,100,1.15
burrow_cr,abv_nf_animas,BUaNFA,insecta,diptera,chironomidae,eukiefferiella_claripennis,19,10/7/2016,509,43.75,1.15
sf_animas,abv_eureka_gulch,SFAaEU,insecta,diptera,chironomidae,eukiefferiella_claripennis,34,10/8/2016,501,75,1.15
sf_animas,abv_animas,SFAaA,insecta,diptera,chironomidae,eukiefferiella_claripennis,3,10/6/2016,539,37.5,1.15
picayne_gulch,abv_animas,PICaA,insecta,diptera,chironomidae,eukiefferiella_devonica,3,10/5/2016,557,7.815,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,diptera,chironomidae,eukiefferiella_gracei,4,10/12/2016,531,18.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,diptera,chironomidae,eukiefferiella_gracei,6,10/7/2016,532,37.5,1.15
maggie_gulch,abv_animas,MAGaA,insecta,diptera,chironomidae,eukiefferiella_gracei,2,10/4/2016,747,6.25,1.15
animas,abv_arrastra_cr,AaARR,insecta,diptera,chironomidae,eukiefferiella_gracei,2,10/2/2016,507,25,1.15
hermosa_cr,abv_ditch,HERaD,insecta,diptera,chironomidae,eukiefferiella_gracei,11,9/30/2016,557,31.5,1.15
nf_animas,abv_burrow_cr,NFAaBU,arachnida,trombidiformes,feltriidae,feltria,1,10/7/2016,532,37.5,1.15
sf_animas,abv_avalanche,SFAaAV,arachnida,trombidiformes,feltriidae,feltria,1,10/8/2016,673,12.5,1.15
animas,abv_minnie,AaMINN,arachnida,trombidiformes,feltriidae,feltria,2,10/11/2016,503,87.5,1.15
hermosa_cr,abv_ditch,HERaD,insecta,plecoptera,perlidae,hesperoperla,7,9/30/2016,557,31.5,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,trichoptera,limnephilidae,hesperophylax,5,10/13/2016,285,100,1.15
burrow_cr,abv_nf_animas,BUaNFA,insecta,trichoptera,limnephilidae,hesperophylax,12,10/7/2016,509,43.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,coleoptera,elmidae,heterlimnius,8,10/7/2016,532,37.5,1.15
nf_animas,abv_wf_animas,NFAaWFA,insecta,coleoptera,elmidae,heterlimnius,1,10/7/2016,12,100,1.15
animas,abv_cunningham,AaCU,insecta,diptera,chironomidae,heterotrissocladius_marcidus,1,10/4/2016,509,18.75,1.15
sf_animas,abv_eureka_gulch,SFAaEU,insecta,diptera,tipulidae,hexatoma,1,10/8/2016,501,75,1.15
mineral_cr,abv_mf_mineral,MaMFM,arachnoidea,hydracarina,hydracarina,hydracarina,1,10/14/2016,120,100,1.15
animas,abv_cunningham,AaCU,insecta,diptera,chironomidae,hydrobaenus,1,10/4/2016,509,18.75,1.15
mineral_cr,abv_sf_mineral,MaSFM,insecta,coleoptera,hydrophilidae,hydrophilidae,2,10/13/2016,90,100,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,coleoptera,hydrophilidae,hydrophilidae,1,10/6/2016,547,88,1.15
hermosa_cr,abv_ditch,HERaD,insecta,trichoptera,hydropsychidae,hydropsyche,133,9/30/2016,557,31.5,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,plecoptera,perlodidae,isoperla,12,10/13/2016,285,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,plecoptera,perlodidae,isoperla,2,10/13/2016,510,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,plecoptera,perlodidae,isoperla,4,10/12/2016,531,18.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,plecoptera,perlodidae,isoperla,5,10/7/2016,532,37.5,1.15
