stream,site,site_id,taxon,total_count,count,phylum,class,order,family,genus,habit,FFG
nf_animas,abv_burrow_cr,NFAaBU,Chaetocladius,1419,5,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
burrow_cr,abv_nf_animas,BUaNFA,Chaetocladius,1163,18,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
nf_animas,abv_wf_animas,NFAaWFA,Chaetocladius,12,1,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
wf_animas,abv_placer_gulch,WFAaPL,Chaetocladius,40,2,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
wf_animas,abv_animas,WFAaA,Chaetocladius,12,2,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
sf_animas,abv_eureka_gulch,SFAaEU,Chaetocladius,668,4,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
eureka_gulch,abv_sf_animas,EUaSFA,Chaetocladius,622,6,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
sf_animas,abv_animas,SFAaA,Chaetocladius,1437,5,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
animas,abv_minnie,AaMINN,Chaetocladius,575,3,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
sf_mineral_cr,abv_mineral_cr,SFMaM,Chelifera,510,4,Arthropod,Insecta,Diptera,Empididae,Chelifera,burrower,collector
sf_animas,abv_eureka_gulch,SFAaEU,Chelifera,668,1,Arthropod,Insecta,Diptera,Empididae,Chelifera,burrower,collector
animas,abv_minnie,AaMINN,Chelifera,575,1,Arthropod,Insecta,Diptera,Empididae,Chelifera,burrower,collector
hermosa_cr,abv_ditch,HERaD,Chelifera,1768,16,Arthropod,Insecta,Diptera,Empididae,Chelifera,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Cinygmula,12640,1920,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Cinygmula,clinger,scraper
bear_cr,abv_mineral_cr,BEaM,Cinygmula,2832,85,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Cinygmula,clinger,scraper
nf_animas,abv_burrow_cr,NFAaBU,Cinygmula,1419,123,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Cinygmula,clinger,scraper
picayne_gulch,abv_animas,PICaA,Cinygmula,7127,307,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Cinygmula,clinger,scraper
mineral_cr,abv_mf_mineral,MaMFM,Clinocera,120,1,Arthropod,Insecta,Diptera,Empididae,Clinocera,sprawler,predator
bear_cr,abv_mineral_cr,BEaM,Clinocera,2832,21,Arthropod,Insecta,Diptera,Empididae,Clinocera,sprawler,predator
nf_animas,abv_burrow_cr,NFAaBU,Clinocera,1419,3,Arthropod,Insecta,Diptera,Empididae,Clinocera,sprawler,predator
burrow_cr,abv_nf_animas,BUaNFA,Clinocera,1163,85,Arthropod,Insecta,Diptera,Empididae,Clinocera,sprawler,predator
wf_animas,abv_placer_gulch,WFAaPL,Clinocera,40,2,Arthropod,Insecta,Diptera,Empididae,Clinocera,sprawler,predator
wf_animas,abv_animas,WFAaA,Clinocera,12,2,Arthropod,Insecta,Diptera,Empididae,Clinocera,sprawler,predator
mineral_cr,abv_mill_cr,MaMIL,Cricotopus_orthocladius,397,4,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Cricotopus_orthocladius,12640,208,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
mineral_cr,abv_mf_mineral,MaMFM,Cricotopus_orthocladius,120,2,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
mf_mineral_cr,abv_mineral_cr,MFMaM,Cricotopus_orthocladius,47,1,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
mineral_cr,abv_sf_mineral,MaSFM,Cricotopus_orthocladius,90,1,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
sf_mineral_cr,abv_mineral_cr,SFMaM,Cricotopus_orthocladius,510,121,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
mineral_cr,abv_animas,MaA,Cricotopus_orthocladius,180,1,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
nf_animas,abv_burrow_cr,NFAaBU,Cricotopus_orthocladius,1419,40,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
picayne_gulch,abv_animas,PICaA,Cricotopus_orthocladius,7127,26,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
animas,abv_eureka,AaEU,Cricotopus_orthocladius,260,3,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
sf_animas,abv_avalanche,SFAaAV,Cricotopus_orthocladius,5384,24,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
sf_animas,abv_eureka_gulch,SFAaEU,Cricotopus_orthocladius,668,12,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
eureka_gulch,abv_sf_animas,EUaSFA,Cricotopus_orthocladius,622,115,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
sf_animas,abv_animas,SFAaA,Cricotopus_orthocladius,1437,64,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
animas,abv_minnie,AaMINN,Cricotopus_orthocladius,575,126,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
animas,abv_cunningham,AaCU,Cricotopus_orthocladius,2715,416,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
animas,abv_arrastra_cr,AaARR,Cricotopus_orthocladius,2028,316,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
hermosa_cr,abv_ditch,HERaD,Cricotopus_orthocladius,1768,6,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector
mineral_cr,abv_mill_cr,MaMIL,Diamesa,397,3,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector
sf_mineral_cr,abv_mineral_cr,SFMaM,Diamesa,510,10,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector
nf_animas,abv_burrow_cr,NFAaBU,Diamesa,1419,24,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector
picayne_gulch,abv_animas,PICaA,Diamesa,7127,13,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector
sf_animas,abv_avalanche,SFAaAV,Diamesa,5384,272,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector
eureka_gulch,abv_sf_animas,EUaSFA,Diamesa,622,22,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector
sf_animas,abv_animas,SFAaA,Diamesa,1437,5,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Dicosmoecus,12640,272,Arthropod,Insecta,Trichoptera,Limnephilidae,Dicosmoecus,clinger,collector
mineral_cr,abv_sf_mineral,MaSFM,Dicranota,90,1,Arthropod,Insecta,Diptera,Chironomidae,Dicranota,burrower,collector
bear_cr,abv_mineral_cr,BEaM,Dicranota,2832,16,Arthropod,Insecta,Diptera,Chironomidae,Dicranota,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Drunella_doddsii,12640,4272,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
sf_mineral_cr,abv_mineral_cr,SFMaM,Drunella_doddsii,510,4,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
bear_cr,abv_mineral_cr,BEaM,Drunella_doddsii,2832,149,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
nf_animas,abv_burrow_cr,NFAaBU,Drunella_doddsii,1419,11,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
picayne_gulch,abv_animas,PICaA,Drunella_doddsii,7127,13,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
sf_animas,abv_avalanche,SFAaAV,Drunella_doddsii,5384,504,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
sf_animas,abv_animas,SFAaA,Drunella_doddsii,1437,3,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
maggie_gulch,abv_animas,MAGaA,Drunella_doddsii,11952,672,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
animas,abv_cunningham,AaCU,Drunella_doddsii,2715,411,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
animas,abv_arrastra_cr,AaARR,Drunella_doddsii,2028,208,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
hermosa_cr,abv_ditch,HERaD,Drunella_grandis,1768,25,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper
wf_animas,abv_placer_gulch,WFAaPL,Dytiscidae,40,1,Arthropod,Insecta,Coleoptera,Dytiscidae,NA,swimmer,predator
nf_animas,abv_burrow_cr,NFAaBU,Ecclisomyia,1419,13,Arthropod,Insecta,Trichoptera,Limnephilidae,Ecclisomyia,clinger,collector
wf_animas,abv_placer_gulch,WFAaPL,Ecclisomyia,40,2,Arthropod,Insecta,Trichoptera,Limnephilidae,Ecclisomyia,clinger,collector
sf_animas,abv_avalanche,SFAaAV,Ecclisomyia,5384,24,Arthropod,Insecta,Trichoptera,Limnephilidae,Ecclisomyia,clinger,collector
eureka_gulch,abv_sf_animas,EUaSFA,Ecclisomyia,622,2,Arthropod,Insecta,Trichoptera,Limnephilidae,Ecclisomyia,clinger,collector
sf_mineral_cr,abv_mineral_cr,SFMaM,Epeorus,510,2,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Epeorus,clinger,scraper
animas,abv_cunningham,AaCU,Epeorus,2715,11,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Epeorus,clinger,scraper
mill_cr,abv_mineral_cr,MILaM,Ephemerellidae,12640,496,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,NA,clinger,scraper
bear_cr,abv_mineral_cr,BEaM,Ephemerellidae,2832,11,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,NA,clinger,scraper
nf_animas,abv_burrow_cr,NFAaBU,Ephemerellidae,1419,3,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,NA,clinger,scraper
picayne_gulch,abv_animas,PICaA,Ephemerellidae,7127,345,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,NA,clinger,scraper
maggie_gulch,abv_animas,MAGaA,Ephemerellidae,11952,112,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,NA,clinger,scraper
animas,abv_cunningham,AaCU,Ephemerellidae,2715,32,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,NA,clinger,scraper
animas,abv_cunningham,AaCU,Eukiefferiella,2715,5,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
bear_cr,abv_mineral_cr,BEaM,Eukiefferiella_brehmi,2832,11,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
burrow_cr,abv_nf_animas,BUaNFA,Eukiefferiella_brehmi,1163,834,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
picayne_gulch,abv_animas,PICaA,Eukiefferiella_brehmi,7127,90,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
sf_animas,abv_avalanche,SFAaAV,Eukiefferiella_brehmi,5384,112,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
eureka_gulch,abv_sf_animas,EUaSFA,Eukiefferiella_brehmi,622,1,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
mineral_cr,abv_mill_cr,MaMIL,Eukiefferiella_claripennis,397,7,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Eukiefferiella_claripennis,12640,16,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
mf_mineral_cr,abv_mineral_cr,MFMaM,Eukiefferiella_claripennis,47,1,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
sf_mineral_cr,abv_mineral_cr,SFMaM,Eukiefferiella_claripennis,510,8,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
mineral_cr,abv_animas,MaA,Eukiefferiella_claripennis,180,4,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
burrow_cr,abv_nf_animas,BUaNFA,Eukiefferiella_claripennis,1163,43,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
sf_animas,abv_eureka_gulch,SFAaEU,Eukiefferiella_claripennis,668,45,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
sf_animas,abv_animas,SFAaA,Eukiefferiella_claripennis,1437,8,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
picayne_gulch,abv_animas,PICaA,Eukiefferiella_devonica,7127,38,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
bear_cr,abv_mineral_cr,BEaM,Eukiefferiella_gracei,2832,21,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
nf_animas,abv_burrow_cr,NFAaBU,Eukiefferiella_gracei,1419,16,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
maggie_gulch,abv_animas,MAGaA,Eukiefferiella_gracei,11952,32,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
animas,abv_arrastra_cr,AaARR,Eukiefferiella_gracei,2028,8,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
hermosa_cr,abv_ditch,HERaD,Eukiefferiella_gracei,1768,35,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector
nf_animas,abv_burrow_cr,NFAaBU,Feltria,1419,3,Arthropod,Arachnida,Trombidiformes,Feltriidae,Feltria,NA,NA
sf_animas,abv_avalanche,SFAaAV,Feltria,5384,8,Arthropod,Arachnida,Trombidiformes,Feltriidae,Feltria,NA,NA
animas,abv_minnie,AaMINN,Feltria,575,2,Arthropod,Arachnida,Trombidiformes,Feltriidae,Feltria,NA,NA
hermosa_cr,abv_ditch,HERaD,Hesperoperla,1768,22,Arthropod,Insecta,Plecoptera,Perlidae,Hesperoperla,clinger,predator
burrow_cr,abv_nf_animas,BUaNFA,Hesperophylax,1163,27,Arthropod,Insecta,Trichoptera,Limnephilidae,Hesperophylax,clinger,collector
nf_animas,abv_burrow_cr,NFAaBU,Heterlimnius,1419,21,Arthropod,Insecta,Coleoptera,Elmidae,Heterlimnius,clinger,collector
nf_animas,abv_wf_animas,NFAaWFA,Heterlimnius,12,1,Arthropod,Insecta,Coleoptera,Elmidae,Heterlimnius,clinger,collector
animas,abv_cunningham,AaCU,Heterotrissocladius_marcidus,2715,5,Arthropod,Insecta,Diptera,Chironomidae,Heterotrissocladius_marcidus,burrower,collector
sf_animas,abv_eureka_gulch,SFAaEU,Hexatoma,668,1,Arthropod,Insecta,Diptera,Tipulidae,Hexatoma,burrower,predator
mineral_cr,abv_mf_mineral,MaMFM,Hydracarina,120,1,Arthropod,Arachnida,Trombidiformes,NA,NA,NA,NA
animas,abv_cunningham,AaCU,Hydrobaenus,2715,5,Arthropod,Insecta,Diptera,Chironomidae,Hydrobaenus,burrower,collector
mineral_cr,abv_sf_mineral,MaSFM,Hydrophilidae,90,2,Arthropod,Insecta,Coleoptera,Hydrophilidae,NA,climber,predator
eureka_gulch,abv_sf_animas,EUaSFA,Hydrophilidae,622,1,Arthropod,Insecta,Coleoptera,Hydrophilidae,NA,climber,predator
hermosa_cr,abv_ditch,HERaD,Hydropsyche,1768,422,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
sf_mineral_cr,abv_mineral_cr,SFMaM,Isoperla,510,2,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
bear_cr,abv_mineral_cr,BEaM,Isoperla,2832,21,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
